GeneSymbol	GO_term
CRBN	protein ubiquitination
CRBN	
CRBN	membrane
CRBN	metal ion binding
CRBN	protein binding
CRBN	proteasome-mediated ubiquitin-dependent protein catabolic process
CRBN	cytosol
CRBN	Cul4A-RING E3 ubiquitin ligase complex
CRBN	transmembrane transporter binding
CRBN	positive regulation of Wnt signaling pathway
CRBN	negative regulation of protein-containing complex assembly
CRBN	positive regulation of protein-containing complex assembly
CRBN	negative regulation of monoatomic ion transmembrane transport
CRBN	locomotory exploration behavior
CRBN	perinuclear region of cytoplasm
CTSW	proteolysis
CTSW	cysteine-type peptidase activity
CTSW	membrane
CTSW	endoplasmic reticulum
CTSW	extracellular region
CTSW	extracellular space
CTSW	immune response
CTSW	lysosome
CTSW	cysteine-type endopeptidase activity
CTSW	proteolysis involved in protein catabolic process
CTSW	platelet dense granule lumen
CTSW	
CX3CR1	G protein-coupled receptor signaling pathway
CX3CR1	membrane
CX3CR1	chemotaxis
CX3CR1	G protein-coupled receptor activity
CX3CR1	cell adhesion
CX3CR1	C-X3-C chemokine receptor activity
CX3CR1	plasma membrane
CX3CR1	innate immune response
CX3CR1	adaptive immune response
CX3CR1	immune response
CX3CR1	external side of plasma membrane
CX3CR1	protein binding
CX3CR1	inflammatory response
CX3CR1	positive regulation of canonical NF-kappaB signal transduction
CX3CR1	cellular response to lipopolysaccharide
CX3CR1	cell surface
CX3CR1	response to wounding
CX3CR1	neuron projection
CX3CR1	chemokine receptor activity
CX3CR1	C-C chemokine receptor activity
CX3CR1	C-C chemokine binding
CX3CR1	positive regulation of cytosolic calcium ion concentration
CX3CR1	calcium-mediated signaling
CX3CR1	cell chemotaxis
CX3CR1	brain development
CX3CR1	modulation of chemical synaptic transmission
CX3CR1	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
CX3CR1	antifungal innate immune response
CX3CR1	regulation of synaptic plasticity
CX3CR1	cellular defense response
CX3CR1	microglial cell activation involved in immune response
CX3CR1	regulation of nitric oxide biosynthetic process
CX3CR1	response to ischemia
CX3CR1	perinuclear region of cytoplasm
CX3CR1	negative regulation of apoptotic signaling pathway
CX3CR1	positive regulation of neurogenesis
CX3CR1	regulation of neurogenesis
CX3CR1	synapse pruning
CX3CR1	leukocyte chemotaxis
CX3CR1	negative regulation of interleukin-1 beta production
CX3CR1	C-X3-C chemokine binding
CX3CR1	neuronal cell body membrane
CX3CR1	cell-cell signaling
CX3CR1	macropinosome membrane
CX3CR1	host-mediated regulation of intestinal microbiota composition
CX3CR1	phospholipase C-activating G protein-coupled receptor signaling pathway
CX3CR1	G protein-coupled peptide receptor activity
CX3CR1	CX3C chemokine receptor binding
CX3CR1	positive regulation of neuroblast proliferation
CX3CR1	central nervous system maturation
CX3CR1	regulation of tumor necrosis factor production
CX3CR1	social behavior
CX3CR1	autocrine signaling
CX3CR1	leukocyte tethering or rolling
CX3CR1	synapse maturation
CX3CR1	negative regulation of hippocampal neuron apoptotic process
CX3CR1	multiple spine synapse organization, single dendrite
CX3CR1	regulation of microglial cell migration
CX3CR1	negative regulation of microglial cell mediated cytotoxicity
CX3CR1	dendritic tree
CX3CR1	cytokine receptor activity
CX3CR1	negative regulation of angiogenesis
CX3CR1	positive regulation of monocyte chemotaxis
CX3CR1	chemokine-mediated signaling pathway
CYB5R4	oxidoreductase activity
CYB5R4	heme binding
CYB5R4	metal ion binding
CYB5R4	endoplasmic reticulum
CYB5R4	perinuclear region of cytoplasm
CYB5R4	cytoplasm
CYB5R4	cytochrome-b5 reductase activity, acting on NAD(P)H
CYB5R4	reactive oxygen species metabolic process
CYB5R4	endoplasmic reticulum membrane
CYB5R4	superoxide metabolic process
CYB5R4	cell development
CYB5R4	NAD(P)H oxidase H2O2-forming activity
CYB5R4	glucose homeostasis
CYB5R4	response to antibiotic
CYB5R4	bicarbonate transport
CYB5R4	insulin secretion
CYB5R4	detection of oxygen
CYB5R4	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
CYB5R4	
CYP1B1	
CYP1B1	monooxygenase activity
CYP1B1	heme binding
CYP1B1	iron ion binding
CYP1B1	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
CYP1B1	membrane
CYP1B1	metal ion binding
CYP1B1	lyase activity
CYP1B1	mitochondrion
CYP1B1	protein binding
CYP1B1	endoplasmic reticulum
CYP1B1	endoplasmic reticulum membrane
CYP1B1	fatty acid metabolic process
CYP1B1	cell adhesion
CYP1B1	steroid metabolic process
CYP1B1	steroid hydroxylase activity
CYP1B1	hormone metabolic process
CYP1B1	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
CYP1B1	negative regulation of cell population proliferation
CYP1B1	intracellular membrane-bounded organelle
CYP1B1	hydroperoxy icosatetraenoate dehydratase activity
CYP1B1	retinol metabolic process
CYP1B1	negative regulation of NF-kappaB transcription factor activity
CYP1B1	negative regulation of cell migration
CYP1B1	positive regulation of apoptotic process
CYP1B1	positive regulation of angiogenesis
CYP1B1	arachidonic acid metabolic process
CYP1B1	collagen fibril organization
CYP1B1	xenobiotic metabolic process
CYP1B1	cellular response to hydrogen peroxide
CYP1B1	intrinsic apoptotic signaling pathway in response to oxidative stress
CYP1B1	blood vessel morphogenesis
CYP1B1	endothelial cell migration
CYP1B1	estrogen metabolic process
CYP1B1	regulation of reactive oxygen species metabolic process
CYP1B1	sterol metabolic process
CYP1B1	positive regulation of receptor signaling pathway via JAK-STAT
CYP1B1	negative regulation of cell adhesion mediated by integrin
CYP1B1	estrogen 16-alpha-hydroxylase activity
CYP1B1	estrogen 2-hydroxylase activity
CYP1B1	epoxygenase P450 pathway
CYP1B1	omega-hydroxylase P450 pathway
CYP1B1	testosterone 6-beta-hydroxylase activity
CYP1B1	nitric oxide biosynthetic process
CYP1B1	positive regulation of vascular endothelial growth factor production
CYP1B1	retinal metabolic process
CYP1B1	trabecular meshwork development
CYP1B1	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
CYP1B1	angiogenesis
CYP1B1	toxin metabolic process
CYP1B1	response to toxic substance
CYP1B1	benzene-containing compound metabolic process
CYP1B1	blood vessel endothelial cell migration
CYP1B1	membrane lipid catabolic process
CYP1B1	retina vasculature development in camera-type eye
CYP1B1	retinal blood vessel morphogenesis
CYP1B1	endothelial cell-cell adhesion
CYP1B1	lipid metabolic process
DCP2	manganese ion binding
DCP2	RNA binding
DCP2	hydrolase activity
DCP2	deadenylation-dependent decapping of nuclear-transcribed mRNA
DCP2	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
DCP2	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity
DCP2	nucleus
DCP2	cytoplasm
DCP2	nucleoplasm
DCP2	metal ion binding
DCP2	protein binding
DCP2	cell junction
DCP2	regulation of mRNA stability
DCP2	cytoplasmic ribonucleoprotein granule
DCP2	P-body
DCP2	mRNA catabolic process
DCP2	mRNA metabolic process
DCP2	cytosol
DCP2	telomerase RNA binding
DCP2	histone mRNA catabolic process
DCP2	regulation of telomerase RNA localization to Cajal body
DCP2	negative regulation of telomere maintenance via telomerase
DCP2	RISC complex
DCP2	5'-3' RNA exonuclease activity
DCP2	RNA exonuclease activity, producing 5'-phosphomonoesters
DCP2	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
DCP2	
DEFA1	extracellular region
DEFA1	extracellular space
DEFA1	defense response
DEFA1	protein binding
DEFA1	defense response to virus
DEFA1	defense response to Gram-positive bacterium
DEFA1	defense response to bacterium
DEFA1	killing of cells of another organism
DEFA1	Golgi lumen
DEFA1	extracellular exosome
DEFA1	collagen-containing extracellular matrix
DEFA1	innate immune response in mucosa
DEFA1	antibacterial humoral response
DEFA1	antimicrobial humoral immune response mediated by antimicrobial peptide
DEFA1	chemotaxis
DEFA1	immune response
DEFA1	defense response to Gram-negative bacterium
DEFA1	T cell chemotaxis
DEFA1	azurophil granule lumen
DEFA1	defense response to fungus
DEFA1	intracellular estrogen receptor signaling pathway
DEFA1	cellular response to lipopolysaccharide
DEFA1	defense response to protozoan
DEFA1	killing by host of symbiont cells
DEFA1	disruption of plasma membrane integrity in another organism
DEFA1	pore-forming activity
DEFA3	extracellular region
DEFA3	extracellular space
DEFA3	defense response
DEFA3	defense response to virus
DEFA3	protein homodimerization activity
DEFA3	defense response to Gram-positive bacterium
DEFA3	defense response to bacterium
DEFA3	killing of cells of another organism
DEFA3	Golgi lumen
DEFA3	extracellular exosome
DEFA3	innate immune response in mucosa
DEFA3	antibacterial humoral response
DEFA3	antimicrobial humoral immune response mediated by antimicrobial peptide
DEFA3	defense response to Gram-negative bacterium
DEFA3	azurophil granule lumen
DEFA3	defense response to fungus
DEFA3	intracellular estrogen receptor signaling pathway
DEFA3	cellular response to lipopolysaccharide
DEFA3	disruption of plasma membrane integrity in another organism
DEFA4	extracellular region
DEFA4	extracellular space
DEFA4	defense response
DEFA4	innate immune response
DEFA4	protein homodimerization activity
DEFA4	defense response to Gram-positive bacterium
DEFA4	cytoplasmic vesicle
DEFA4	defense response to bacterium
DEFA4	killing of cells of another organism
DEFA4	defense response to Gram-negative bacterium
DEFA4	Golgi lumen
DEFA4	transport vesicle
DEFA4	antibacterial humoral response
DEFA4	antimicrobial humoral immune response mediated by antimicrobial peptide
DEFA4	azurophil granule
DEFA4	specific granule lumen
DEFA4	defense response to fungus
DEFA4	cellular response to lipopolysaccharide
DEFA4	antifungal humoral response
DEFA4	innate immune response in mucosa
DEFA4	antimicrobial humoral response
DEFA4	disruption of plasma membrane integrity in another organism
DEK	DNA binding
DEK	chromatin organization
DEK	nucleus
DEK	RNA binding
DEK	nucleoplasm
DEK	protein binding
DEK	histone binding
DEK	chromatin remodeling
DEK	positive regulation of transcription by RNA polymerase I
DEK	positive regulation of transcription by RNA polymerase II
DEK	positive regulation of transcription by RNA polymerase III
DEK	nucleolus
DEK	B-WICH complex
DEK	signal transduction
DEK	transcription by RNA polymerase II
DEK	regulation of transcription by RNA polymerase II
DEK	viral genome replication
DEK	regulation of double-strand break repair
DEK	regulation of double-strand break repair via nonhomologous end joining
DEK	contractile muscle fiber
DEK	
DOCK11	guanyl-nucleotide exchange factor activity
DOCK11	small GTPase-mediated signal transduction
DOCK11	protein binding
DOCK11	regulation of Rho protein signal transduction
DOCK11	cytosol
DOCK11	positive regulation of GTPase activity
DOCK11	positive regulation of filopodium assembly
DOCK11	marginal zone B cell differentiation
DOCK11	B cell homeostasis
DOCK11	small GTPase binding
DOCK11	
DPYSL5	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
DPYSL5	cytoplasm
DPYSL5	hydrolase activity
DPYSL5	protein binding
DPYSL5	cytosol
DPYSL5	nervous system development
DPYSL5	signal transduction
DPYSL5	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
DPYSL5	axon guidance
DPYSL5	negative regulation of dendrite morphogenesis
DPYSL5	neuron differentiation
DPYSL5	dendrite
DPYSL5	neuronal cell body
DPYSL5	synapse
DPYSL5	glutamatergic synapse
DPYSL5	protein-containing complex
DPYSL5	
EFR3A	cytoplasm
EFR3A	plasma membrane
EFR3A	cytosol
EFR3A	phosphatidylinositol phosphate biosynthetic process
EFR3A	protein localization to plasma membrane
EFR3A	
EIF1AY	RNA binding
EIF1AY	translation initiation factor activity
EIF1AY	translational initiation
EIF1AY	cytoplasm
EIF1AY	protein binding
EIF1AY	translation
EIF1AY	tRNA binding
EIF1AY	
EVI2A	membrane
EVI2A	cytosol
EVI2A	Golgi apparatus
EVI2A	plasma membrane
EVI2A	protein binding
EVI2A	cilium
EVI2A	intracellular membrane-bounded organelle
EVI2A	transmembrane signaling receptor activity
FAU	structural constituent of ribosome
FAU	translation
FAU	ribosome
FAU	protein binding
FAU	nucleus
FAU	RNA binding
FAU	cytoplasm
FAU	cytosol
FAU	ribonucleoprotein complex
FAU	extracellular space
FAU	defense response to Gram-positive bacterium
FAU	cytosolic small ribosomal subunit
FAU	nucleoplasm
FAU	small ribosomal subunit
FAU	protein ubiquitination
FAU	ubiquitin protein ligase binding
FAU	innate immune response in mucosa
FAU	antibacterial humoral response
FAU	antimicrobial humoral immune response mediated by antimicrobial peptide
FAU	cytoplasmic translation
FAU	protein tag activity
FAU	modification-dependent protein catabolic process
FAU	cytosolic ribosome
FAU	
FEM1C	protein binding
FEM1C	cytosol
FEM1C	nucleoplasm
FEM1C	protein ubiquitination
FEM1C	proteasome-mediated ubiquitin-dependent protein catabolic process
FEM1C	ubiquitin-like ligase-substrate adaptor activity
FEM1C	ubiquitin ligase complex
FEM1C	Cul2-RING ubiquitin ligase complex
FEM1C	ubiquitin-dependent protein catabolic process via the C-end degron rule pathway
FKBP8	protein binding
FKBP8	peptidyl-prolyl cis-trans isomerase activity
FKBP8	membrane
FKBP8	endoplasmic reticulum
FKBP8	cytosol
FKBP8	metal ion binding
FKBP8	mitochondrion
FKBP8	apoptotic process
FKBP8	mitochondrial membrane
FKBP8	RNA polymerase II CTD heptapeptide repeat P3 isomerase activity
FKBP8	RNA polymerase II CTD heptapeptide repeat P6 isomerase activity
FKBP8	regulation of transcription by RNA polymerase II
FKBP8	protein folding
FKBP8	identical protein binding
FKBP8	negative regulation of apoptotic process
FKBP8	endomembrane system
FKBP8	protein-containing complex
FKBP8	protein localization to mitochondrion
FKBP8	intracellular signal transduction
FKBP8	mitochondrial envelope
FKBP8	protein folding chaperone
FKBP8	disordered domain specific binding
FKBP8	calmodulin binding
FKBP8	negative regulation of protein phosphorylation
FKBP8	regulation of mitophagy
FKBP8	cell fate specification
FKBP8	smoothened signaling pathway
FKBP8	dorsal/ventral pattern formation
FKBP8	regulation of gene expression
FKBP8	dorsal/ventral neural tube patterning
FKBP8	neural tube development
FKBP8	BMP signaling pathway
FKBP8	regulation of BMP signaling pathway
FKBP8	positive regulation of BMP signaling pathway
FKBP8	multicellular organism growth
FKBP8	camera-type eye development
FKBP8	neuron fate specification
FKBP8	endoplasmic reticulum membrane
FKBP8	
FKBP8	isomerase activity
FOXN2	regulation of DNA-templated transcription
FOXN2	DNA-binding transcription factor activity
FOXN2	sequence-specific DNA binding
FOXN2	nucleus
FOXN2	DNA binding
FOXN2	nucleoplasm
FOXN2	protein binding
FOXN2	intracellular membrane-bounded organelle
FOXN2	regulation of transcription by RNA polymerase II
FOXN2	DNA-binding transcription factor activity, RNA polymerase II-specific
FOXN2	chromatin
FOXN2	sequence-specific double-stranded DNA binding
FOXN2	cis-regulatory region sequence-specific DNA binding
FOXN2	skeletal muscle cell differentiation
GLRX	cytoplasm
GLRX	protein binding
GLRX	cytosol
GLRX	extracellular exosome
GLRX	sodium channel regulator activity
GLRX	nucleobase-containing small molecule interconversion
GLRX	glutathione disulfide oxidoreductase activity
GLRX	positive regulation of membrane potential
GLRX	
GLRX	nucleus
GMFB	Arp2/3 complex binding
GMFB	actin filament debranching
GMFB	actin binding
GMFB	growth factor activity
GMFB	signal transduction
GMFB	protein phosphorylation
GMFB	nervous system development
GMFB	cortical actin cytoskeleton
GMFB	protein kinase inhibitor activity
GMFB	enzyme activator activity
GMFB	negative regulation of Arp2/3 complex-mediated actin nucleation
GMFB	
GNG10	G protein-coupled receptor signaling pathway
GNG10	G-protein beta-subunit binding
GNG10	heterotrimeric G-protein complex
GNG10	plasma membrane
GNG10	protein binding
GNG10	signal transduction
GNG10	GTPase activity
GP9	protein binding
GP9	membrane
GP9	cell adhesion
GP9	plasma membrane
GP9	blood coagulation
GP9	blood coagulation, intrinsic pathway
GP9	positive regulation of platelet activation
GP9	megakaryocyte development
GP9	release of sequestered calcium ion into cytosol
GP9	glycoprotein Ib-IX-V complex
GRINA	membrane
GRINA	protein binding
GRINA	negative regulation of apoptotic process
GRINA	calcium ion transmembrane transport
GRINA	endoplasmic reticulum
GRINA	apoptotic signaling pathway
GRINA	Golgi apparatus
GRINA	calcium channel activity
GRINA	negative regulation of neuron apoptotic process
GRINA	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
GRINA	Golgi membrane
GRINA	transmembrane transporter binding
GRINA	endoplasmic reticulum calcium ion homeostasis
GRINA	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GRINA	
GZMH	proteolysis
GZMH	serine-type endopeptidase activity
GZMH	membrane
GZMH	hydrolase activity
GZMH	apoptotic process
GZMH	lysosome
GZMH	serine-type peptidase activity
GZMH	extracellular space
GZMH	killing of cells of another organism
GZMH	protein maturation
GZMH	cytolytic granule
HDC	
HDC	pyridoxal phosphate binding
HDC	amino acid metabolic process
HDC	carboxylic acid metabolic process
HDC	carbon-carbon lyase activity
HDC	carboxy-lyase activity
HDC	protein binding
HDC	cytoplasm
HDC	catecholamine biosynthetic process
HDC	cytosol
HDC	histidine decarboxylase activity
HDC	histamine biosynthetic process
HDC	histidine metabolic process
HDC	histidine catabolic process
HDC	lyase activity
HINT1	catalytic activity
HINT1	
HINT1	nucleus
HINT1	cytoplasm
HINT1	cytosol
HINT1	nucleoplasm
HINT1	hydrolase activity
HINT1	plasma membrane
HINT1	protein binding
HINT1	apoptotic process
HINT1	regulation of DNA-templated transcription
HINT1	cysteine-type peptidase activity
HINT1	proteolysis
HINT1	nucleotide binding
HINT1	deSUMOylase activity
HINT1	protein desumoylation
HINT1	positive regulation of calcium-mediated signaling
HINT1	extracellular exosome
HINT1	histone deacetylase complex
HINT1	signal transduction
HINT1	cytoskeleton
HINT1	intrinsic apoptotic signaling pathway by p53 class mediator
HINT1	protein kinase C binding
HINT1	adenosine 5'-monophosphoramidase activity
HINT1	purine ribonucleotide catabolic process
IFNGR1	membrane
IFNGR1	protein binding
IFNGR1	cytokine receptor activity
IFNGR1	cytokine binding
IFNGR1	type II interferon-mediated signaling pathway
IFNGR1	plasma membrane
IFNGR1	
IFNGR1	cytokine-mediated signaling pathway
IFNGR1	microglial cell activation
IFNGR1	positive regulation of gene expression
IFNGR1	positive regulation of tumor necrosis factor production
IFNGR1	astrocyte activation
IFNGR1	defense response to virus
IFNGR1	negative regulation of amyloid-beta clearance
IFNGR1	positive regulation of amyloid-beta formation
IFNGR1	cellular response to virus
IFNGR1	signal transduction
IFNGR1	response to virus
IFNGR1	type III interferon-mediated signaling pathway
IFNGR1	type II interferon receptor activity
ITGA2B	cell adhesion
ITGA2B	integrin complex
ITGA2B	plasma membrane
ITGA2B	membrane
ITGA2B	metal ion binding
ITGA2B	integrin-mediated signaling pathway
ITGA2B	protein binding
ITGA2B	external side of plasma membrane
ITGA2B	identical protein binding
ITGA2B	cell surface
ITGA2B	extracellular exosome
ITGA2B	blood microparticle
ITGA2B	angiogenesis
ITGA2B	cell-cell adhesion
ITGA2B	integrin binding
ITGA2B	molecular adaptor activity
ITGA2B	platelet alpha granule membrane
ITGA2B	cell-matrix adhesion
ITGA2B	cell adhesion mediated by integrin
ITGA2B	integrin alphaIIb-beta3 complex
ITGA2B	extracellular matrix binding
ITGA2B	fibrinogen binding
ITGA2B	positive regulation of leukocyte migration
ITGA2B	focal adhesion
ITGA2B	
ITGAL	
ITGAL	cell adhesion
ITGAL	integrin complex
ITGAL	plasma membrane
ITGAL	membrane
ITGAL	metal ion binding
ITGAL	protein binding
ITGAL	signal transduction
ITGAL	external side of plasma membrane
ITGAL	cell surface
ITGAL	integrin-mediated signaling pathway
ITGAL	inflammatory response
ITGAL	phagocytosis
ITGAL	extracellular exosome
ITGAL	specific granule membrane
ITGAL	cell-cell adhesion
ITGAL	receptor clustering
ITGAL	integrin binding
ITGAL	cell-matrix adhesion
ITGAL	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
ITGAL	cell adhesion mediated by integrin
ITGAL	cell adhesion molecule binding
ITGAL	ICAM-3 receptor activity
ITGAL	integrin alphaL-beta2 complex
ITGAL	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
ITGAL	leukocyte cell-cell adhesion
ITGAL	memory T cell extravasation
ITGAL	protein-containing complex binding
KIR3DL2	plasma membrane
KIR3DL2	membrane
KIR3DL2	protein binding
KIR3DL2	immune response-regulating signaling pathway
KIR3DL2	cellular defense response
KIR3DL2	MHC class Ib protein binding
KIR3DL2	
LEPROTL1	membrane
LEPROTL1	protein binding
LEPROTL1	identical protein binding
LEPROTL1	endosome
LEPROTL1	late endosome to vacuole transport via multivesicular body sorting pathway
LEPROTL1	negative regulation of growth hormone receptor signaling pathway
LMBRD1	membrane
LMBRD1	intracellular membrane-bounded organelle
LMBRD1	plasma membrane
LMBRD1	protein binding
LMBRD1	endocytosis
LMBRD1	endoplasmic reticulum
LMBRD1	endoplasmic reticulum membrane
LMBRD1	lysosome
LMBRD1	cobalamin binding
LMBRD1	lysosomal membrane
LMBRD1	cytoplasmic vesicle
LMBRD1	clathrin-coated vesicle
LMBRD1	gastrulation
LMBRD1	clathrin-dependent endocytosis
LMBRD1	protein localization to lysosome
LMBRD1	clathrin heavy chain binding
LMBRD1	insulin receptor internalization
LMBRD1	clathrin-coated endocytic vesicle
LMBRD1	AP-2 adaptor complex binding
LMBRD1	insulin receptor binding
LMBRD1	protein transporter activity
LMBRD1	
LRRN3	protein binding
LRRN3	membrane
LRRN3	extracellular space
LRRN3	extracellular matrix
LRRN3	positive regulation of synapse assembly
LRRN3	
LSM3	RNA binding
LSM3	mRNA splicing, via spliceosome
LSM3	nucleus
LSM3	spliceosomal complex
LSM3	mRNA processing
LSM3	RNA splicing
LSM3	protein binding
LSM3	Sm-like protein family complex
LSM3	nucleoplasm
LSM3	catalytic step 2 spliceosome
LSM3	U4/U6 x U5 tri-snRNP complex
LSM3	cytosol
LSM3	P-body
LSM3	P-body assembly
LSM3	Lsm1-7-Pat1 complex
LSM3	U2-type precatalytic spliceosome
LSM3	precatalytic spliceosome
LSM3	U6 snRNP
LSM3	Lsm2-8 complex
LSM3	U6 snRNA 3'-end binding
LY6E	
LY6E	plasma membrane
LY6E	protein binding
LY6E	synapse
LY6E	extracellular region
LY6E	side of membrane
LY6E	acetylcholine receptor binding
LY6E	acetylcholine receptor signaling pathway
LY6E	cell surface receptor signaling pathway
LY6E	negative regulation of viral entry into host cell
LY6E	acetylcholine receptor inhibitor activity
LY96	innate immune response
LY96	lipopolysaccharide binding
LY96	Toll-like receptor 4 binding
LY96	extracellular region
LY96	plasma membrane
LY96	protein binding
LY96	inflammatory response
LY96	endosome membrane
LY96	positive regulation of tumor necrosis factor production
LY96	response to lipopolysaccharide
LY96	lipopolysaccharide immune receptor activity
LY96	toll-like receptor signaling pathway
LY96	detection of lipopolysaccharide
LY96	toll-like receptor 4 signaling pathway
LY96	receptor complex
LY96	lipopolysaccharide receptor complex
LY96	cell surface receptor signaling pathway
LY96	coreceptor activity
LY96	cellular defense response
LY96	cellular response to lipopolysaccharide
LY96	positive regulation of lipopolysaccharide-mediated signaling pathway
LY96	lipopolysaccharide-mediated signaling pathway
LYPD2	plasma membrane
LYPD2	protein binding
LYPD2	extracellular region
LYPD2	side of membrane
MAP1S	microtubule
MAP1S	microtubule binding
MAP1S	microtubule cytoskeleton organization
MAP1S	
MAP1S	nucleus
MAP1S	cytoplasm
MAP1S	cell projection
MAP1S	cytosol
MAP1S	nucleoplasm
MAP1S	cytoskeleton
MAP1S	protein binding
MAP1S	apoptotic process
MAP1S	DNA binding
MAP1S	nucleolus
MAP1S	synapse
MAP1S	spindle
MAP1S	axonogenesis
MAP1S	neuronal cell body
MAP1S	dendrite
MAP1S	actin binding
MAP1S	dendrite development
MAP1S	perinuclear region of cytoplasm
MAP1S	nervous system development
MAP1S	tubulin binding
MAP1S	microtubule bundle formation
MAP1S	microtubule associated complex
MAP1S	brain development
MAP1S	beta-tubulin binding
MAP1S	mitochondrion transport along microtubule
MAP1S	regulation of microtubule depolymerization
MAP1S	centrosome
MAP1S	autophagy
MAP1S	identical protein binding
MAP1S	actin filament binding
MAP1S	mitotic spindle organization
MAP1S	neuron projection morphogenesis
MAP1S	metaphase chromosome alignment
MAP1S	microtubule organizing center
MAP1S	microtubule cytoskeleton
MAP1S	mitotic spindle microtubule
MAP3K1	zinc ion binding
MAP3K1	ATP binding
MAP3K1	protein phosphorylation
MAP3K1	protein kinase activity
MAP3K1	protein serine/threonine kinase activity
MAP3K1	protein binding
MAP3K1	MAPK cascade
MAP3K1	intracellular signal transduction
MAP3K1	cytoplasm
MAP3K1	protein serine kinase activity
MAP3K1	protein kinase binding
MAP3K1	MAP kinase kinase kinase activity
MAP3K1	cytosol
MAP3K1	cellular response to mechanical stimulus
MAP3K1	JUN kinase kinase kinase activity
MAP3K1	Fc-epsilon receptor signaling pathway
MAP3K1	tight junction
MAP3K1	
MED25	
MED25	nucleus
MED25	nucleoplasm
MED25	protein binding
MED25	positive regulation of transcription by RNA polymerase II
MED25	negative regulation of transcription by RNA polymerase II
MED25	transcription regulator complex
MED25	positive regulation of transcription elongation by RNA polymerase II
MED25	RNA polymerase II preinitiation complex assembly
MED25	positive regulation of transcription initiation by RNA polymerase II
MED25	mediator complex
MED25	core mediator complex
MED25	nuclear retinoic acid receptor binding
MED25	transcription coactivator binding
MED25	nuclear retinoid X receptor binding
MED25	negative regulation of fibroblast proliferation
MED25	positive regulation of chromatin binding
MED25	positive regulation of mediator complex assembly
NDUFA4	mitochondrion
NDUFA4	protein binding
NDUFA4	mitochondrial inner membrane
NDUFA4	respiratory chain complex IV
NDUFA4	proton transmembrane transport
NDUFA4	NADH dehydrogenase (ubiquinone) activity
NDUFA4	mitochondrial electron transport, NADH to ubiquinone
NDUFA4	protein-containing complex binding
NDUFA4	mitochondrial electron transport, cytochrome c to oxygen
NDUFA4	cellular respiration
NDUFA4	mitochondrial membrane
NDUFA4	
NDUFB2	mitochondrial inner membrane
NDUFB2	respiratory chain complex I
NDUFB2	mitochondrion
NDUFB2	proton transmembrane transport
NDUFB2	NADH dehydrogenase (ubiquinone) activity
NDUFB2	mitochondrial respiratory chain complex I assembly
NDUFB2	mitochondrial electron transport, NADH to ubiquinone
NDUFB2	aerobic respiration
NDUFB2	proton motive force-driven mitochondrial ATP synthesis
NDUFB2	
NDUFB3	mitochondrion
NDUFB3	electron transport chain
NDUFB3	mitochondrial inner membrane
NDUFB3	proton transmembrane transport
NDUFB3	NADH dehydrogenase (ubiquinone) activity
NDUFB3	mitochondrial respiratory chain complex I assembly
NDUFB3	respiratory chain complex I
NDUFB3	mitochondrial electron transport, NADH to ubiquinone
NDUFB3	aerobic respiration
NDUFB3	proton motive force-driven mitochondrial ATP synthesis
NDUFS4	
NDUFS4	electron transport chain
NDUFS4	mitochondrion
NDUFS4	mitochondrial inner membrane
NDUFS4	protein binding
NDUFS4	proton transmembrane transport
NDUFS4	reactive oxygen species metabolic process
NDUFS4	NADH dehydrogenase (ubiquinone) activity
NDUFS4	mitochondrial respiratory chain complex I assembly
NDUFS4	respiratory chain complex I
NDUFS4	mitochondrial electron transport, NADH to ubiquinone
NDUFS4	aerobic respiration
NDUFS4	proton motive force-driven mitochondrial ATP synthesis
NDUFS4	brain development
NDUFS4	response to cAMP
NDUFS4	regulation of protein phosphorylation
NKG7	membrane
NKG7	plasma membrane
NKG7	protein binding
NKG7	lysosome
NKG7	inflammatory response
NKG7	killing of cells of another organism
NKG7	positive regulation of inflammatory response
NKG7	natural killer cell degranulation
NKG7	defense response to protozoan
NKG7	natural killer cell mediated cytotoxicity
NKG7	cytolytic granule
NKG7	granzyme-mediated programmed cell death signaling pathway
NKG7	cytolytic granule membrane
NKG7	natural killer cell mediated cytotoxicity directed against tumor cell target
NKG7	CD4-positive, alpha-beta T cell activation
NRGN	protein binding
NRGN	calmodulin binding
NRGN	cytosol
NRGN	nervous system development
NRGN	signal transduction
ORM1	extracellular space
